id,start_time,end_time,lat,lon,median_distance_km,median_speed_knots,vessel_1_id,vessel_1_type,vessel_1_tileset,vessel_2_id,vessel_2_type,vessel_2_tileset
id--2939932536673310761,2012-06-08 20:40:00 UTC,2012-06-08 22:40:00 UTC,5.9107775372,-169.56165747635,0.0992540525,0.8301576516,9ce4d61b-394f-c237-2a8d-2e389382300b,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-6d41-71dfc90d9dfa,reefers,gfw-tasks-658-reefer-uvi-v2
id-973248469056379459,2012-10-14 04:00:00 UTC,2012-10-14 09:50:00 UTC,-0.97856370755,171.47472392375,0.0399016813,0.4152620655,9ce4d61b-394f-c237-61f5-c862d717c6a3,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-b2c6-6df687180cb,reefers,gfw-tasks-658-reefer-uvi-v2
id-4380232073838440388,2012-10-25 03:50:00 UTC,2012-10-25 14:50:00 UTC,-2.6843583769,-155.3373378493,0.0300496633,1.8652584245,9ce4d61b-394f-c237-8808-d2fa6c166ae4,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-b2c6-6df687180cb,reefers,gfw-tasks-658-reefer-uvi-v2
id--60382959592725969,2012-07-14 18:40:00 UTC,2012-07-14 22:30:00 UTC,-2.08269494615,-166.0160028856,0.0207356867,1.15312188065,9ce4d61b-394f-c237-9290-e2cbddf1a625,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-b2c6-6df687180cb,reefers,gfw-tasks-658-reefer-uvi-v2
id-4032249591404563631,2012-05-30 14:00:00 UTC,2012-05-30 16:10:00 UTC,-17.08416752645,-79.95249832479999,0.0238458599,1.75984067955,9ce4d61b-394f-c237-b1a8-a39dec4e62e6,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-eb22-2be07981b523,reefers,gfw-tasks-658-reefer-uvi-v2
id--362802695745784971,2012-03-09 01:30:00 UTC,2012-03-09 04:30:00 UTC,-45.442456827249991,-60.60071855035,0.0280206246,1.049961782,9ce4d61b-394f-c237-3208-7c4676d089af,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-62cc-27bda44e7215,reefers,gfw-tasks-658-reefer-uvi-v2
id--895290876349609516,2012-01-27 23:40:00 UTC,2012-01-29 11:40:00 UTC,58.389485436075972,149.98459204904805,0.023218349399999998,0.6806805698,9ce4d61b-394f-c237-475c-f4f0b725cf8f,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-7272-52c2e4e5311c,reefers,gfw-tasks-658-reefer-uvi-v2
id--224381882525382839,2012-09-22 04:00:00 UTC,2012-09-22 07:40:00 UTC,-8.8383455439514282,-89.695557097611427,0.020601318450000003,1.3179316307,9ce4d61b-394f-c237-5c40-09111e693056,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-7cf5-7a84ce1e4e47,reefers,gfw-tasks-658-reefer-uvi-v2
id-3668017950149185419,2012-05-08 21:10:00 UTC,2012-05-09 00:10:00 UTC,58.717568719050007,-156.9996610459,0.0858473583,0.0022391794,9ce4d61b-394f-c237-973f-e59b6e5b8e2a,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-f3ac-e8529f3ef01d,reefers,gfw-tasks-658-reefer-uvi-v2
id--162334363400616691,2012-03-04 14:40:00 UTC,2012-03-05 04:30:00 UTC,-12.369332159,-108.17375832444999,0.0142157936,1.36865749115,9ce4d61b-394f-c237-28e2-add6a82c47c2,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-5c9e-cd2b164e933,reefers,gfw-tasks-658-reefer-uvi-v2
id-2656960569113923537,2012-04-02 16:50:00 UTC,2012-04-02 19:20:00 UTC,0.9457825683,-151.9986017943,0.1922732313,0.45905923005,9ce4d61b-394f-c237-11aa-ca874a23310f,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-5c9e-cd2b164e933,reefers,gfw-tasks-658-reefer-uvi-v2
id-1953238057601108675,2012-10-10 08:10:00 UTC,2012-10-11 13:00:00 UTC,58.962807592504305,163.74651422691073,0.03627634815,0.00922971005,9ce4d61b-394f-c237-9266-98e487c71edb,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-f642-cf4217abc590,reefers,gfw-tasks-658-reefer-uvi-v2
id--1433209705580382246,2012-11-24 15:40:00 UTC,2012-11-25 05:00:00 UTC,-14.955341528494738,-79.982095995126329,0.02835604815,1.2709050129000001,9ce4d61b-394f-c237-601b-c7b7b572f815,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-8726-247300f953ae,reefers,gfw-tasks-658-reefer-uvi-v2
id--676606181273364365,2012-06-04 14:20:00 UTC,2012-06-04 16:40:00 UTC,52.142140105281477,3.7336791947814811,0.28787379215,0.0462204593,9ce4d61b-394f-c237-ad04-9cce2ff6d173,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-bf0e-94d8259f4823,reefers,gfw-tasks-658-reefer-uvi-v2
id--2213568636417143845,2012-07-22 17:10:00 UTC,2012-07-22 20:50:00 UTC,-0.22641581900000002,-117.42386051954999,0.0257834497,1.12786831615,9ce4d61b-394f-c237-2fab-7b77a66ab3c4,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-4938-6484db2eaa44,reefers,gfw-tasks-658-reefer-uvi-v2
id--2063272990921358008,2012-06-25 23:20:00 UTC,2012-06-26 08:20:00 UTC,62.336233642645006,177.64366670808249,0.0144684506,0.01493329325,9ce4d61b-394f-c237-899f-ae08427640ec,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-b253-972f7b2c0cbc,reefers,gfw-tasks-658-reefer-uvi-v2
id--1352760634175364266,2012-06-15 01:10:00 UTC,2012-06-15 10:00:00 UTC,2.109248987178947,-151.02562115134,0.043091937149999995,0.2005743243,9ce4d61b-394f-c237-308f-b9bac9024ee6,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-6d41-71dfc90d9dfa,reefers,gfw-tasks-658-reefer-uvi-v2
